#Time Stamp,seconds since epoch,Input A,Input B,Input C,Input D1,Input D2,Pressure
Tue Mar 14 21:54:27 2017,1489553667.351393,;;;;;;,+296.081,+294.659,+295.746,+296.828,5.004E-1
Tue Mar 14 21:54:28 2017,1489553668.853948,+296.060,+296.081,+294.659,+295.746,+296.828,4.980E-1
Tue Mar 14 21:54:30 2017,1489553670.35651,+296.060,+296.080,+294.660,+295.745,+296.827,4.956E-1
Tue Mar 14 21:54:31 2017,1489553671.859106,+296.060,+296.080,+294.660,+295.745,+296.827,4.933E-1
Tue Mar 14 21:54:33 2017,1489553673.361672,+296.060,+296.081,+294.660,+295.745,+296.826,4.911E-1
Tue Mar 14 21:54:34 2017,1489553674.864274,+296.060,+296.080,+294.661,+295.745,+296.825,4.887E-1
Tue Mar 14 21:54:36 2017,1489553676.366851,+296.060,+296.080,+294.661,+295.745,+296.825,4.865E-1
Tue Mar 14 21:54:37 2017,1489553677.86945,+296.060,+296.080,+294.662,+295.744,+296.824,4.844E-1
Tue Mar 14 21:54:39 2017,1489553679.372056,+296.059,+296.080,+294.662,+295.744,+296.824,4.820E-1
Tue Mar 14 21:54:40 2017,1489553680.874678,+296.059,+296.080,+294.663,+295.744,+296.823,4.801E-1
Tue Mar 14 21:54:42 2017,1489553682.377223,+296.060,+296.080,+294.663,+295.744,+296.822,4.779E-1
Tue Mar 14 21:54:43 2017,1489553683.879846,+296.060,+296.080,+294.663,+295.744,+296.822,4.758E-1
Tue Mar 14 21:54:45 2017,1489553685.382381,+296.060,+296.080,+294.664,+295.743,+296.821,4.740E-1
Tue Mar 14 21:54:46 2017,1489553686.884959,+296.059,+296.080,+294.664,+295.743,+296.821,4.717E-1
Tue Mar 14 21:54:48 2017,1489553688.3875,+296.059,+296.080,+294.664,+295.743,+296.820,4.698E-1
Tue Mar 14 21:54:49 2017,1489553689.890105,+296.059,+296.080,+294.665,+295.742,+296.820,4.680E-1
Tue Mar 14 21:54:51 2017,1489553691.392652,+296.059,+296.080,+294.665,+295.742,+296.819,4.660E-1
Tue Mar 14 21:54:52 2017,1489553692.895248,+296.059,+296.080,+294.666,+295.742,+296.819,4.642E-1
Tue Mar 14 21:54:54 2017,1489553694.3979,+296.059,+296.080,+294.666,+295.742,+296.818,4.623E-1
Tue Mar 14 21:54:55 2017,1489553695.900505,+296.059,+296.079,+294.666,+295.741,+296.818,4.604E-1
Tue Mar 14 21:54:57 2017,1489553697.403044,+296.059,+296.080,+294.667,+295.741,+296.817,4.586E-1
Tue Mar 14 21:54:58 2017,1489553698.905653,+296.059,+296.080,+294.667,+295.741,+296.817,4.566E-1
Tue Mar 14 21:55:00 2017,1489553700.408261,+296.058,+296.079,+294.668,+295.740,+296.816,4.549E-1
Tue Mar 14 21:55:01 2017,1489553701.910902,+296.058,+296.079,+294.668,+295.740,+296.816,4.533E-1
Tue Mar 14 21:55:03 2017,1489553703.413485,+296.058,+296.079,+294.668,+295.740,+296.815,4.514E-1
Tue Mar 14 21:55:04 2017,1489553704.916043,+296.059,+296.079,+294.669,+295.740,+296.814,4.497E-1
Tue Mar 14 21:55:06 2017,1489553706.418654,+296.059,+296.080,+294.669,+295.739,+296.814,4.479E-1
Tue Mar 14 21:55:07 2017,1489553707.921355,+296.058,+296.080,+294.670,+295.739,+296.813,4.463E-1
Tue Mar 14 21:55:09 2017,1489553709.423961,+296.058,+296.079,+294.670,+295.739,+296.813,4.446E-1
Tue Mar 14 21:55:10 2017,1489553710.926661,+296.058,+296.079,+294.671,+295.739,+296.812,4.428E-1
Tue Mar 14 21:55:12 2017,1489553712.429445,+296.058,+296.079,+294.671,+295.739,+296.812,4.413E-1
Tue Mar 14 21:55:13 2017,1489553713.932067,+296.058,+296.078,+294.672,+295.738,+296.811,4.397E-1
Tue Mar 14 21:55:15 2017,1489553715.434653,+296.058,+296.079,+294.672,+295.738,+296.811,4.380E-1
Tue Mar 14 21:55:16 2017,1489553716.937252,+296.058,+296.079,+294.672,+295.738,+296.810,4.365E-1
Tue Mar 14 21:55:18 2017,1489553718.439821,+296.058,+296.079,+294.673,+295.737,+296.810,4.349E-1
Tue Mar 14 21:55:19 2017,1489553719.942547,+296.058,+296.079,+294.673,+295.737,+296.809,4.332E-1
Tue Mar 14 21:55:21 2017,1489553721.445302,+296.058,+296.079,+294.673,+295.737,+296.809,4.315E-1
Tue Mar 14 21:55:22 2017,1489553722.947934,+296.058,+296.079,+294.674,+295.737,+296.808,4.302E-1
Tue Mar 14 21:55:24 2017,1489553724.450518,+296.058,+296.079,+294.674,+295.736,+296.808,4.286E-1
Tue Mar 14 21:55:25 2017,1489553725.953117,+296.058,+296.079,+294.675,+295.736,+296.807,4.271E-1
Tue Mar 14 21:55:27 2017,1489553727.455708,+296.058,+296.078,+294.675,+295.736,+296.807,4.257E-1
Tue Mar 14 21:55:28 2017,1489553728.958355,+296.058,+296.078,+294.675,+295.736,+296.806,4.242E-1
Tue Mar 14 21:55:30 2017,1489553730.460985,+296.058,+296.079,+294.676,+295.735,+296.806,4.227E-1
Tue Mar 14 21:55:31 2017,1489553731.963585,+296.058,+296.079,+294.676,+295.735,+296.805,4.213E-1
Tue Mar 14 21:55:33 2017,1489553733.466141,+296.058,+296.078,+294.676,+295.735,+296.805,4.199E-1
Tue Mar 14 21:55:34 2017,1489553734.968749,+296.058,+296.078,+294.677,+295.735,+296.804,4.184E-1
Tue Mar 14 21:55:36 2017,1489553736.471333,+296.058,+296.078,+294.677,+295.734,+296.804,4.171E-1
Tue Mar 14 21:55:37 2017,1489553737.973973,+296.058,+296.078,+294.677,+295.734,+296.803,4.156E-1
Tue Mar 14 21:55:39 2017,1489553739.476562,+296.058,+296.078,+294.678,+295.734,+296.803,4.142E-1
Tue Mar 14 21:55:40 2017,1489553740.979185,+296.058,+296.078,+294.678,+295.733,+296.802,4.127E-1
Tue Mar 14 21:55:42 2017,1489553742.481797,+296.058,+296.078,+294.678,+295.733,+296.802,4.115E-1
Tue Mar 14 21:55:43 2017,1489553743.984384,+296.058,+296.077,+294.679,+295.733,+296.802,4.101E-1
Tue Mar 14 21:55:45 2017,1489553745.486972,+296.057,+296.078,+294.679,+295.732,+296.801,4.088E-1
Tue Mar 14 21:55:46 2017,1489553746.989551,+296.058,+296.077,+294.679,+295.732,+296.801,4.075E-1
Tue Mar 14 21:55:48 2017,1489553748.492124,+296.057,+296.077,+294.680,+295.732,+296.800,4.062E-1
Tue Mar 14 21:55:49 2017,1489553749.994687,+296.058,+296.077,+294.680,+295.731,+296.800,4.048E-1
Tue Mar 14 21:55:51 2017,1489553751.497315,+296.057,+296.077,+294.681,+295.731,+296.799,4.036E-1
Tue Mar 14 21:55:52 2017,1489553752.999932,+296.057,+296.077,+294.681,+295.731,+296.799,4.022E-1
Tue Mar 14 21:55:54 2017,1489553754.502497,+296.057,+296.077,+294.681,+295.731,+296.798,4.001E-1
Tue Mar 14 21:55:56 2017,1489553756.005072,+296.057,+296.077,+294.682,+295.731,+296.798,3.977E-1
Tue Mar 14 21:55:57 2017,1489553757.507634,+296.057,+296.077,+294.682,+295.731,+296.797,3.952E-1
Tue Mar 14 21:55:59 2017,1489553759.010178,+296.057,+296.077,+294.683,+295.730,+296.797,3.918E-1
Tue Mar 14 21:56:00 2017,1489553760.512752,+296.057,+296.077,+294.683,+295.729,+296.796,3.883E-1
Tue Mar 14 21:56:02 2017,1489553762.015292,+296.057,+296.077,+294.684,+295.729,+296.796,3.842E-1
Tue Mar 14 21:56:03 2017,1489553763.517855,+296.057,+296.077,+294.684,+295.729,+296.795,3.798E-1
Tue Mar 14 21:56:05 2017,1489553765.020423,+296.057,+296.077,+294.684,+295.729,+296.795,3.753E-1
Tue Mar 14 21:56:06 2017,1489553766.523008,+296.057,+296.077,+294.685,+295.728,+296.794,3.707E-1
Tue Mar 14 21:56:08 2017,1489553768.02559,+296.057,+296.077,+294.685,+295.728,+296.794,3.659E-1
Tue Mar 14 21:56:09 2017,1489553769.528142,+296.057,+296.077,+294.685,+295.728,+296.794,3.607E-1
Tue Mar 14 21:56:11 2017,1489553771.030728,+296.057,+296.077,+294.686,+295.728,+296.793,3.556E-1
Tue Mar 14 21:56:12 2017,1489553772.53326,+296.058,+296.077,+294.686,+295.727,+296.793,3.506E-1
Tue Mar 14 21:56:14 2017,1489553774.035851,+296.057,+296.076,+294.686,+295.727,+296.792,3.450E-1
Tue Mar 14 21:56:15 2017,1489553775.538409,+296.057,+296.077,+294.687,+295.727,+296.792,3.395E-1
Tue Mar 14 21:56:17 2017,1489553777.040978,+296.057,+296.077,+294.688,+295.727,+296.791,3.338E-1
Tue Mar 14 21:56:18 2017,1489553778.543635,+296.057,+296.076,+294.688,+295.726,+296.791,3.280E-1
Tue Mar 14 21:56:20 2017,1489553780.046299,+296.057,+296.076,+294.688,+295.726,+296.791,3.220E-1
Tue Mar 14 21:56:21 2017,1489553781.54895,+296.057,+296.077,+294.689,+295.726,+296.790,3.160E-1
Tue Mar 14 21:56:23 2017,1489553783.051509,+296.056,+296.077,+294.689,+295.726,+296.790,3.100E-1
Tue Mar 14 21:56:24 2017,1489553784.554129,+296.056,+296.076,+294.689,+295.725,+296.789,3.040E-1
Tue Mar 14 21:56:26 2017,1489553786.056773,+296.056,+296.076,+294.690,+295.725,+296.789,2.978E-1
Tue Mar 14 21:56:27 2017,1489553787.559451,+296.056,+296.076,+294.690,+295.725,+296.788,2.914E-1
Tue Mar 14 21:56:29 2017,1489553789.062121,+296.056,+296.076,+294.690,+295.725,+296.788,2.853E-1
Tue Mar 14 21:56:30 2017,1489553790.564723,+296.057,+296.075,+294.690,+295.725,+296.788,2.791E-1
Tue Mar 14 21:56:32 2017,1489553792.067492,+296.056,+296.076,+294.691,+295.725,+296.787,2.729E-1
Tue Mar 14 21:56:33 2017,1489553793.570091,+296.056,+296.076,+294.691,+295.724,+296.787,2.666E-1
Tue Mar 14 21:56:35 2017,1489553795.072605,+296.056,+296.076,+294.691,+295.724,+296.786,2.602E-1
Tue Mar 14 21:56:36 2017,1489553796.575314,+296.056,+296.076,+294.691,+295.723,+296.786,2.537E-1
Tue Mar 14 21:56:38 2017,1489553798.077877,+296.056,+296.076,+294.692,+295.723,+296.786,2.473E-1
Tue Mar 14 21:56:39 2017,1489553799.580547,+296.056,+296.076,+294.692,+295.723,+296.785,2.411E-1
Tue Mar 14 21:56:41 2017,1489553801.083159,+296.056,+296.076,+294.693,+295.723,+296.785,2.347E-1
Tue Mar 14 21:56:42 2017,1489553802.585802,+296.056,+296.076,+294.693,+295.722,+296.784,2.286E-1
Tue Mar 14 21:56:44 2017,1489553804.088407,+296.056,+296.076,+294.694,+295.722,+296.784,2.224E-1
Tue Mar 14 21:56:45 2017,1489553805.591069,+296.055,+296.075,+294.694,+295.722,+296.784,2.160E-1
Tue Mar 14 21:56:47 2017,1489553807.093635,+296.055,+296.075,+294.694,+295.721,+296.783,2.100E-1
Tue Mar 14 21:56:48 2017,1489553808.596238,+296.056,+296.075,+294.694,+295.721,+296.783,2.036E-1
Tue Mar 14 21:56:50 2017,1489553810.098838,+296.056,+296.075,+294.695,+295.720,+296.782,1.979E-1
Tue Mar 14 21:56:51 2017,1489553811.6014,+296.056,+296.075,+294.695,+295.720,+296.782,1.926E-1
Tue Mar 14 21:56:53 2017,1489553813.103987,+296.055,+296.075,+294.696,+295.720,+296.782,1.878E-1
Tue Mar 14 21:56:54 2017,1489553814.606585,+296.055,+296.075,+294.696,+295.719,+296.781,1.823E-1
Tue Mar 14 21:56:56 2017,1489553816.109142,+296.055,+296.075,+294.696,+295.719,+296.781,1.777E-1
Tue Mar 14 21:56:57 2017,1489553817.611719,+296.055,+296.075,+294.697,+295.719,+296.781,1.728E-1
Tue Mar 14 21:56:59 2017,1489553819.114319,+296.055,+296.074,+294.697,+295.721,+296.780,1.683E-1
Tue Mar 14 21:57:00 2017,1489553820.616801,+296.055,+296.075,+294.697,+295.719,+296.780,1.640E-1
Tue Mar 14 21:57:02 2017,1489553822.119362,+296.055,+296.075,+294.698,+295.719,+296.779,1.596E-1
Tue Mar 14 21:57:03 2017,1489553823.622012,+296.055,+296.075,+294.698,+295.718,+296.779,1.556E-1
Tue Mar 14 21:57:05 2017,1489553825.124605,+296.055,+296.075,+294.698,+295.718,+296.778,1.517E-1
Tue Mar 14 21:57:06 2017,1489553826.627177,+296.055,+296.074,+294.699,+295.718,+296.778,1.480E-1
Tue Mar 14 21:57:08 2017,1489553828.129772,+296.055,+296.075,+294.699,+295.718,+296.778,1.448E-1
Tue Mar 14 21:57:09 2017,1489553829.63159,+296.055,+296.075,+294.699,+295.717,+296.777,1.416E-1
Tue Mar 14 21:57:11 2017,1489553831.134114,+296.055,+296.075,+294.699,+295.717,+296.777,1.387E-1
Tue Mar 14 21:57:12 2017,1489553832.636621,+296.054,+296.074,+294.700,+295.716,+296.776,1.360E-1
Tue Mar 14 21:57:14 2017,1489553834.139221,+296.054,+296.075,+294.700,+295.716,+296.776,1.334E-1
Tue Mar 14 21:57:15 2017,1489553835.641816,+296.054,+296.074,+294.701,+295.716,+296.776,1.313E-1
Tue Mar 14 21:57:17 2017,1489553837.144359,+296.054,+296.074,+294.701,+295.715,+296.775,1.292E-1
Tue Mar 14 21:57:18 2017,1489553838.646943,+296.054,+296.074,+294.701,+295.715,+296.775,1.273E-1
Tue Mar 14 21:57:20 2017,1489553840.149512,+296.054,+296.074,+294.701,+295.715,+296.774,1.256E-1
Tue Mar 14 21:57:21 2017,1489553841.652068,+296.054,+296.074,+294.702,+295.715,+296.774,1.242E-1
Tue Mar 14 21:57:23 2017,1489553843.154682,+296.054,+296.074,+294.702,+295.715,+296.774,1.228E-1
Tue Mar 14 21:57:24 2017,1489553844.657299,+296.054,+296.074,+294.702,+295.714,+296.773,1.215E-1
Tue Mar 14 21:57:26 2017,1489553846.159875,+296.054,+296.074,+294.703,+295.714,+296.773,1.204E-1
Tue Mar 14 21:57:27 2017,1489553847.66242,+296.054,+296.074,+294.703,+295.714,+296.773,1.194E-1
Tue Mar 14 21:57:29 2017,1489553849.165019,+296.054,+296.074,+294.703,+295.713,+296.772,1.184E-1
Tue Mar 14 21:57:30 2017,1489553850.667598,+296.054,+296.074,+294.703,+295.713,+296.772,1.174E-1
Tue Mar 14 21:57:32 2017,1489553852.170184,+296.053,+296.074,+294.703,+295.713,+296.772,1.167E-1
Tue Mar 14 21:57:33 2017,1489553853.672754,+296.054,+296.072,+294.704,+295.713,+296.771,1.159E-1
Tue Mar 14 21:57:35 2017,1489553855.175432,+296.054,+296.073,+294.704,+295.713,+296.771,1.152E-1
Tue Mar 14 21:57:36 2017,1489553856.67805,+296.054,+296.073,+294.704,+295.712,+296.771,1.146E-1
Tue Mar 14 21:57:38 2017,1489553858.180621,+296.053,+296.073,+294.704,+295.712,+296.770,1.139E-1
Tue Mar 14 21:57:39 2017,1489553859.683188,+296.053,+296.074,+294.705,+295.712,+296.770,1.134E-1
Tue Mar 14 21:57:41 2017,1489553861.185742,+296.053,+296.073,+294.705,+295.712,+296.769,1.128E-1
Tue Mar 14 21:57:42 2017,1489553862.688375,+296.053,+296.073,+294.705,+295.711,+296.769,1.124E-1
Tue Mar 14 21:57:44 2017,1489553864.190915,+296.053,+296.073,+294.706,+295.711,+296.769,1.119E-1
Tue Mar 14 21:57:45 2017,1489553865.693479,+296.053,+296.074,+294.706,+295.711,+296.769,1.114E-1
Tue Mar 14 21:57:47 2017,1489553867.196017,+296.053,+296.073,+294.706,+295.711,+296.768,1.110E-1
Tue Mar 14 21:57:48 2017,1489553868.698662,+296.054,+296.072,+294.706,+295.712,+296.768,1.105E-1
Tue Mar 14 21:57:50 2017,1489553870.201163,+296.053,+296.073,+294.707,+295.711,+296.767,1.101E-1
Tue Mar 14 21:57:51 2017,1489553871.703778,+296.053,+296.074,+294.706,+295.710,+296.767,1.097E-1
Tue Mar 14 21:57:53 2017,1489553873.20631,+296.053,+296.074,+294.707,+295.710,+296.767,1.093E-1
Tue Mar 14 21:57:54 2017,1489553874.70893,+296.053,+296.073,+294.707,+295.709,+296.766,1.089E-1
Tue Mar 14 21:57:56 2017,1489553876.211507,+296.053,+296.073,+294.707,+295.709,+296.766,1.085E-1
Tue Mar 14 21:57:57 2017,1489553877.714042,+296.053,+296.073,+294.708,+295.709,+296.766,1.082E-1
Tue Mar 14 21:57:59 2017,1489553879.216567,+296.052,+296.073,+294.708,+295.709,+296.766,1.078E-1
Tue Mar 14 21:58:00 2017,1489553880.719151,+296.053,+296.073,+294.708,+295.709,+296.765,1.074E-1
Tue Mar 14 21:58:02 2017,1489553882.22179,+296.053,+296.072,+294.708,+295.709,+296.765,1.071E-1
Tue Mar 14 21:58:03 2017,1489553883.724439,+296.053,+296.072,+294.709,+295.708,+296.765,1.068E-1
Tue Mar 14 21:58:05 2017,1489553885.227035,+296.053,+296.072,+294.709,+295.708,+296.764,1.064E-1
Tue Mar 14 21:58:06 2017,1489553886.729654,+296.053,+296.072,+294.709,+295.708,+296.764,1.061E-1
Tue Mar 14 21:58:08 2017,1489553888.232051,+296.052,+296.072,+294.709,+295.707,+296.764,1.058E-1
Tue Mar 14 21:58:09 2017,1489553889.7346,+296.052,+296.072,+294.710,+295.708,+296.763,1.055E-1
Tue Mar 14 21:58:11 2017,1489553891.237186,+296.052,+296.072,+294.710,+295.707,+296.763,1.051E-1
Tue Mar 14 21:58:12 2017,1489553892.739808,+296.052,+296.072,+294.710,+295.707,+296.763,1.049E-1
Tue Mar 14 21:58:14 2017,1489553894.242358,+296.052,+296.072,+294.710,+295.707,+296.762,1.046E-1
Tue Mar 14 21:58:15 2017,1489553895.744929,+296.052,+296.072,+294.711,+295.706,+296.762,1.042E-1
Tue Mar 14 21:58:17 2017,1489553897.247501,+296.052,+296.072,+294.711,+295.706,+296.762,1.040E-1
Tue Mar 14 21:58:18 2017,1489553898.750061,+296.052,+296.072,+294.711,+295.705,+296.761,1.037E-1
Tue Mar 14 21:58:20 2017,1489553900.252636,+296.052,+296.072,+294.711,+295.705,+296.761,1.034E-1
Tue Mar 14 21:58:21 2017,1489553901.755222,+296.052,+296.072,+294.711,+295.706,+296.761,1.031E-1
Tue Mar 14 21:58:23 2017,1489553903.257796,+296.053,+296.071,+294.711,+295.707,+296.760,1.028E-1
Tue Mar 14 21:58:24 2017,1489553904.760379,+296.052,+296.071,+294.712,+295.706,+296.760,1.025E-1
Tue Mar 14 21:58:26 2017,1489553906.262929,+296.052,+296.072,+294.712,+295.705,+296.760,1.023E-1
Tue Mar 14 21:58:27 2017,1489553907.765498,+296.052,+296.072,+294.712,+295.705,+296.759,1.020E-1
Tue Mar 14 21:58:29 2017,1489553909.2681,+296.052,+296.072,+294.712,+295.704,+296.759,1.018E-1
Tue Mar 14 21:58:30 2017,1489553910.770708,+296.052,+296.072,+294.713,+295.704,+296.759,1.015E-1
Tue Mar 14 21:58:32 2017,1489553912.273276,+296.052,+296.072,+294.713,+295.704,+296.759,1.012E-1
Tue Mar 14 21:58:33 2017,1489553913.775877,+296.051,+296.072,+294.713,+295.703,+296.758,1.010E-1
Tue Mar 14 21:58:35 2017,1489553915.278448,+296.051,+296.072,+294.713,+295.703,+296.758,1.007E-1
Tue Mar 14 21:58:36 2017,1489553916.781056,+296.051,+296.071,+294.713,+295.703,+296.758,1.005E-1
Tue Mar 14 21:58:38 2017,1489553918.283637,+296.051,+296.072,+294.714,+295.703,+296.757,1.002E-1
Tue Mar 14 21:58:39 2017,1489553919.786365,+296.051,+296.071,+294.714,+295.702,+296.757,9.992E-2
Tue Mar 14 21:58:41 2017,1489553921.288938,+296.051,+296.071,+294.714,+295.702,+296.757,9.969E-2
Tue Mar 14 21:58:42 2017,1489553922.791559,+296.050,+296.071,+294.714,+295.702,+296.757,9.946E-2
Tue Mar 14 21:58:44 2017,1489553924.294118,+296.051,+296.071,+294.714,+295.701,+296.756,9.921E-2
Tue Mar 14 21:58:45 2017,1489553925.796766,+296.051,+296.071,+294.715,+295.702,+296.756,9.896E-2
Tue Mar 14 21:58:47 2017,1489553927.299316,+296.051,+296.071,+294.715,+295.701,+296.756,9.874E-2
Tue Mar 14 21:58:48 2017,1489553928.80189,+296.050,+296.071,+294.715,+295.701,+296.755,9.852E-2
Tue Mar 14 21:58:50 2017,1489553930.304452,+296.051,+296.071,+294.715,+295.701,+296.755,9.826E-2
Tue Mar 14 21:58:51 2017,1489553931.806934,+296.051,+296.071,+294.715,+295.700,+296.755,9.807E-2
Tue Mar 14 21:58:53 2017,1489553933.309447,+296.051,+296.071,+294.715,+295.700,+296.755,9.783E-2
Tue Mar 14 21:58:54 2017,1489553934.812064,+296.051,+296.071,+294.716,+295.700,+296.754,9.758E-2
Tue Mar 14 21:58:56 2017,1489553936.314879,+296.051,+296.071,+294.716,+295.700,+296.754,9.737E-2
Tue Mar 14 21:58:57 2017,1489553937.81734,+296.050,+296.071,+294.716,+295.699,+296.754,9.716E-2
Tue Mar 14 21:58:59 2017,1489553939.319917,+296.051,+296.071,+294.716,+295.699,+296.753,9.693E-2
Tue Mar 14 21:59:00 2017,1489553940.822507,+296.050,+296.071,+294.716,+295.699,+296.753,9.671E-2
Tue Mar 14 21:59:02 2017,1489553942.325087,+296.050,+296.071,+294.717,+295.699,+296.753,9.651E-2
Tue Mar 14 21:59:03 2017,1489553943.827673,+296.050,+296.071,+294.717,+295.699,+296.752,9.629E-2
Tue Mar 14 21:59:05 2017,1489553945.330303,+296.050,+296.071,+294.717,+295.698,+296.752,9.606E-2
Tue Mar 14 21:59:06 2017,1489553946.833129,+296.050,+296.071,+294.717,+295.698,+296.752,9.588E-2
Tue Mar 14 21:59:08 2017,1489553948.336028,+296.050,+296.070,+294.718,+295.698,+296.752,9.566E-2
Tue Mar 14 21:59:09 2017,1489553949.838911,+296.050,+296.070,+294.718,+295.698,+296.752,9.544E-2
Tue Mar 14 21:59:11 2017,1489553951.341459,+296.050,+296.070,+294.718,+295.697,+296.751,9.525E-2
Tue Mar 14 21:59:12 2017,1489553952.844049,+296.050,+296.070,+294.718,+295.697,+296.751,9.505E-2
Tue Mar 14 21:59:14 2017,1489553954.346611,+296.050,+296.070,+294.718,+295.697,+296.751,9.483E-2
Tue Mar 14 21:59:15 2017,1489553955.849173,+296.050,+296.070,+294.718,+295.697,+296.750,9.463E-2
Tue Mar 14 21:59:17 2017,1489553957.351863,+296.050,+296.070,+294.718,+295.697,+296.750,9.447E-2
Tue Mar 14 21:59:18 2017,1489553958.854439,+296.050,+296.070,+294.718,+295.697,+296.750,9.425E-2
Tue Mar 14 21:59:20 2017,1489553960.356936,+296.050,+296.070,+294.719,+295.696,+296.750,9.404E-2
Tue Mar 14 21:59:21 2017,1489553961.85953,+296.050,+296.070,+294.719,+295.696,+296.749,9.386E-2
Tue Mar 14 21:59:23 2017,1489553963.362236,+296.049,+296.070,+294.719,+295.695,+296.749,9.366E-2
Tue Mar 14 21:59:24 2017,1489553964.86502,+296.049,+296.070,+294.719,+295.695,+296.749,9.347E-2
Tue Mar 14 21:59:26 2017,1489553966.367666,+296.049,+296.070,+294.719,+295.695,+296.748,9.329E-2
Tue Mar 14 21:59:27 2017,1489553967.870228,+296.050,+296.069,+294.719,+295.696,+296.748,9.309E-2
Tue Mar 14 21:59:29 2017,1489553969.372875,+296.049,+296.069,+294.720,+295.695,+296.748,9.289E-2
Tue Mar 14 21:59:30 2017,1489553970.875448,+296.049,+296.069,+294.719,+295.695,+296.748,9.271E-2
Tue Mar 14 21:59:32 2017,1489553972.378015,+296.049,+296.069,+294.719,+295.694,+296.748,9.252E-2
Tue Mar 14 21:59:33 2017,1489553973.880775,+296.049,+296.069,+294.720,+295.694,+296.747,9.234E-2
Tue Mar 14 21:59:35 2017,1489553975.383498,+296.049,+296.069,+294.720,+295.694,+296.747,9.215E-2
Tue Mar 14 21:59:36 2017,1489553976.886208,+296.049,+296.070,+294.720,+295.694,+296.747,9.198E-2
Tue Mar 14 21:59:38 2017,1489553978.388785,+296.049,+296.069,+294.720,+295.694,+296.746,9.179E-2
Tue Mar 14 21:59:39 2017,1489553979.891408,+296.049,+296.070,+294.720,+295.693,+296.746,9.160E-2
Tue Mar 14 21:59:41 2017,1489553981.393984,+296.049,+296.070,+294.720,+295.693,+296.746,9.144E-2
Tue Mar 14 21:59:42 2017,1489553982.896597,+296.049,+296.069,+294.720,+295.693,+296.746,9.125E-2
Tue Mar 14 21:59:44 2017,1489553984.399184,+296.049,+296.069,+294.721,+295.693,+296.745,9.106E-2
Tue Mar 14 21:59:45 2017,1489553985.901874,+296.049,+296.069,+294.721,+295.693,+296.745,9.090E-2
Tue Mar 14 21:59:47 2017,1489553987.404475,+296.049,+296.069,+294.721,+295.692,+296.745,9.072E-2
Tue Mar 14 21:59:48 2017,1489553988.907125,+296.049,+296.069,+294.721,+295.692,+296.745,9.053E-2
Tue Mar 14 21:59:50 2017,1489553990.409713,+296.049,+296.069,+294.721,+295.692,+296.744,9.037E-2
Tue Mar 14 21:59:51 2017,1489553991.912313,+296.049,+296.069,+294.722,+295.691,+296.744,9.023E-2
Tue Mar 14 21:59:53 2017,1489553993.414921,+296.049,+296.069,+294.722,+295.691,+296.744,9.004E-2
Tue Mar 14 21:59:54 2017,1489553994.91758,+296.049,+296.069,+294.721,+295.691,+296.744,8.986E-2
Tue Mar 14 21:59:56 2017,1489553996.420322,+296.048,+296.069,+294.722,+295.691,+296.744,8.970E-2
Tue Mar 14 21:59:57 2017,1489553997.923081,+296.048,+296.069,+294.722,+295.690,+296.743,8.953E-2
Tue Mar 14 21:59:59 2017,1489553999.42585,+296.049,+296.069,+294.722,+295.690,+296.743,8.936E-2
Tue Mar 14 22:00:00 2017,1489554000.928435,+296.049,+296.068,+294.723,+295.690,+296.743,8.920E-2
Tue Mar 14 22:00:02 2017,1489554002.430976,+296.048,+296.068,+294.722,+295.690,+296.743,8.903E-2
Tue Mar 14 22:00:03 2017,1489554003.933481,+296.048,+296.068,+294.722,+295.690,+296.742,8.886E-2
Tue Mar 14 22:00:05 2017,1489554005.43602,+296.048,+296.069,+294.723,+295.689,+296.742,8.870E-2
Tue Mar 14 22:00:06 2017,1489554006.938547,+296.048,+296.069,+294.723,+295.690,+296.742,8.855E-2
Tue Mar 14 22:00:08 2017,1489554008.441147,+296.048,+296.069,+294.723,+295.689,+296.742,8.838E-2
Tue Mar 14 22:00:09 2017,1489554009.943721,+296.048,+296.069,+294.723,+295.689,+296.741,8.821E-2
Tue Mar 14 22:00:11 2017,1489554011.446291,+296.048,+296.068,+294.723,+295.689,+296.741,8.807E-2
Tue Mar 14 22:00:12 2017,1489554012.948825,+296.048,+296.068,+294.723,+295.689,+296.741,8.790E-2
Tue Mar 14 22:00:14 2017,1489554014.451396,+296.048,+296.068,+294.723,+295.688,+296.741,8.773E-2
Tue Mar 14 22:00:15 2017,1489554015.953944,+296.048,+296.068,+294.723,+295.690,+296.741,8.760E-2
Tue Mar 14 22:00:17 2017,1489554017.456556,+296.048,+296.068,+294.723,+295.688,+296.740,8.743E-2
Tue Mar 14 22:00:18 2017,1489554018.959192,+296.048,+296.068,+294.723,+295.688,+296.740,8.727E-2
Tue Mar 14 22:00:20 2017,1489554020.46179,+296.048,+296.068,+294.723,+295.688,+296.740,8.711E-2
Tue Mar 14 22:00:21 2017,1489554021.964447,+296.048,+296.068,+294.723,+295.688,+296.740,8.697E-2
Tue Mar 14 22:00:23 2017,1489554023.467024,+296.048,+296.068,+294.723,+295.688,+296.740,8.680E-2
Tue Mar 14 22:00:24 2017,1489554024.969598,+296.048,+296.068,+294.724,+295.687,+296.739,8.664E-2
Tue Mar 14 22:00:26 2017,1489554026.472192,+296.048,+296.068,+294.724,+295.687,+296.739,8.651E-2
